hh_ids,trx_yr_mo,inc_hh_byti,inc_hh_byti_AGRI,inc_hh_byti_CITMPC,inc_hh_byti_NEINCG,inc_hh_byti_REI,inc_hh_byti_RIOI,inc_hh_byti_RR,inc_hh_byti_SEI
"KELDK15","2013_03",499.4117,517.647,23.52941,0,0,0,0,-41.76471
"KELDK15","2013_04",329.6235,211.7647,176.4706,0,0,0,0,-58.61176
"KELDK15","2013_05",217.7647,102.5882,76.47059,0,0,0,0,38.70588
"KELDK15","2013_06",556.1176,419.0588,117.6471,0,0,11.76471,0,7.647051
"KELDK15","2013_07",39.41176,-20.58824,223.5294,0,0,0,0,-163.5294
"KELDK15","2013_08",398.3765,106.9412,105.8824,0,0,0,0,185.5529
"KELDK15","2013_09",-1376.471,158.8235,58.82353,0,0,0,0,-1594.118
"KELDK16","2012_10",37.64706,11.17647,26.47059,0,0,0,0,0
"KELDK16","2012_11",5.647059,5.647059,0,0,0,0,0,0
"KELDK16","2012_12",20.82353,12.23529,8.588235,0,0,0,0,0
"KELDK16","2013_01",16.47059,4.705883,11.76471,0,0,0,0,0
"KELDK16","2013_02",41.17647,35.29412,5.882353,0,0,0,0,0
"KELDK16","2013_03",117.6471,117.6471,0,0,0,0,0,0
"KELDK16","2013_04",25.88235,0,25.88235,0,0,0,0,0
"KELDK16","2013_05",200.5882,182.3529,18.23529,0,0,0,0,0
"KELDK16","2013_06",57.05883,35.88235,19.41176,0,0,0,1.764706,0
"KELDK16","2013_07",68.82353,55.88235,11.76471,0,0,0,1.176471,0
"KELDK16","2013_08",35.88235,35.88235,0,0,0,0,0,0
"KELDK16","2013_09",20,14.11765,5.882353,0,0,0,0,0
"KELDK17","2012_11",120,120,0,0,0,0,0,0
"KELDK17","2012_12",89.41177,89.41177,0,0,0,0,0,0
"KELDK17","2013_01",130.5882,7.058824,0,0,0,5.882353,117.6471,0
"KELDK17","2013_02",58.82353,52.94118,0,0,0,5.882353,0,0
"KELDK17","2013_03",43.58823,3.294118,4.705883,0,0,0,35.58823,0
"KELDK17","2013_04",104.8823,64.35294,4.941176,0,0,0,35.58823,0
"KELDK17","2013_05",96.94118,80,16.94118,0,0,0,0,0
"KELDK17","2013_06",150.4941,129.3176,0,0,0,0,21.17647,0
"KELDK17","2013_07",138.2353,85.88235,0,0,0,0,52.35294,0
"KELDK17","2013_08",64.70589,64.70589,0,0,0,0,0,0
"KELDK17","2013_09",70,67.05882,2.941176,0,0,0,0,0
"KELDK18","2012_11",177.5294,122.3529,0,0,0,0,8.235294,46.94118
"KELDK18","2012_12",206.3529,188.2353,0,0,0,0,27.05882,-8.941178
"KELDK18","2013_01",373.1176,322.9412,0,0,0,0,11.76471,38.41178
"KELDK18","2013_02",122.353,47.05882,0,0,0,0,0,75.29414
"KELDK18","2013_03",741.1765,658.8235,0,0,0,0,0,82.35297
"KELDK18","2013_04",37.64707,-35.29412,0,0,0,0,0,72.94118
"KELDK18","2013_05",157.647,84.70588,0,0,0,0,0,72.94117
