hh_ids,m_ids_owner,trx_yr_mo,inc_i_byti,inc_i_byti_AGRI,inc_i_byti_CITMPC,inc_i_byti_NEINCG,inc_i_byti_REI,inc_i_byti_RIOI,inc_i_byti_RR,inc_i_byti_SEI
"KVIHK13","60134399137700000","2013_09",3.529412,0,3.529412,0,0,0,0,0
"KVIHK13","HH","2012_10",3.529412,0,3.529412,0,0,0,0,0
"KVIHK13","HH","2012_11",8.705883,0,8.235294,0,0,0,.4705882,0
"KVIHK13","HH","2013_01",3.294118,0,0,0,0,0,3.294118,0
"KVIHK13","HH","2013_02",.2352941,0,0,0,0,0,.2352941,0
"KVIHK13","HH","2013_03",3.529412,0,0,0,0,3.529412,0,0
"KVIHK13","HH","2013_04",-3.529412,-3.529412,0,0,0,0,0,0
"KVIHK13","HH","2013_07",3.529412,0,0,0,0,0,0,3.529412
"KVIHK13","HH","2013_08",-5.882353,0,0,0,0,0,0,-5.882353
"KVIHK14","60134365404000000","2013_05",47.05882,0,0,0,0,0,47.05882,0
"KVIHK14","60134365798400000","2012_10",27.35294,0,0,0,0,0,35.58823,-8.235294
"KVIHK14","60134365798400000","2012_11",32.05882,0,0,0,0,0,29.11765,2.941175
"KVIHK14","60134365798400000","2012_12",73.23529,0,0,0,0,0,67.35294,5.88235
"KVIHK14","60134365798400000","2013_01",102.7059,0,0,0,0,0,67.64706,35.05882
"KVIHK14","60134365798400000","2013_02",95.88235,0,0,0,0,0,45.64706,50.23529
"KVIHK14","60134365798400000","2013_03",118,-80,0,0,0,0,175.4118,22.58823
"KVIHK14","60134365798400000","2013_04",117.1765,-22.94118,0,0,0,0,107.1765,32.94117
"KVIHK14","60134365798400000","2013_05",116,-52.94118,0,0,0,0,97.76471,71.17647
"KVIHK14","60134365798400000","2013_06",102.7059,0,0,0,0,0,61.52941,41.17646
"KVIHK14","60134365798400000","2013_07",56.23529,0,0,0,0,0,11.52941,44.70588
"KVIHK14","60134365798400000","2013_08",160.5882,-1.764706,0,0,0,0,101.1765,61.17647
"KVIHK14","60134365798400000","2013_09",-3.529412,-3.529412,0,0,0,0,0,0
"KVIHK14","HH","2012_11",2.647059,0,0,0,0,0,2.647059,0
"KVIHK14","HH","2013_02",2.352941,0,0,0,0,0,2.352941,0
"KVIHK15","60134381014900000","2012_10",25.88235,25.88235,0,0,0,0,0,0
"KVIHK15","60134381014900000","2012_11",24.70588,24.70588,0,0,0,0,0,0
"KVIHK15","60134381014900000","2012_12",13.17647,13.17647,0,0,0,0,0,0
"KVIHK15","60134381014900000","2013_01",16.11765,13.17647,0,0,0,0,2.941176,0
"KVIHK15","60134381014900000","2013_02",15.17647,14.58824,0,0,0,0,.5882353,0
"KVIHK15","60134381014900000","2013_03",12.23529,9.882353,0,0,0,0,2.352941,0
"KVIHK15","60134381014900000","2013_04",14.41177,14.41177,0,0,0,0,0,0
"KVIHK15","60134381014900000","2013_05",17.17647,17.17647,0,0,0,0,0,0
"KVIHK15","60134381014900000","2013_06",-2.68e-07,-2.68e-07,0,0,0,0,0,0
"KVIHK15","60134381014900000","2013_07",-1.058824,-1.058824,0,0,0,0,0,0
"KVIHK15","60134381014900000","2013_08",10.58824,10.58824,0,0,0,0,0,0
"KVIHK15","60134381014900000","2013_09",5.17647,5.17647,0,0,0,0,0,0
"KVIHK15","60134381261200000","2012_10",2.705882,0,0,0,0,0,0,2.705882
"KVIHK15","60134381261200000","2012_11",3.411765,0,0,0,0,0,0,3.411765
"KVIHK15","60134381261200000","2012_12",3.647058,0,0,0,0,0,0,3.647058
"KVIHK15","60134381261200000","2013_01",3.647059,0,0,0,0,0,0,3.647059
"KVIHK15","60134381261200000","2013_02",1.529412,0,0,0,0,0,0,1.529412
"KVIHK15","60134381261200000","2013_03",15.64706,0,0,0,0,0,13.76471,1.882353
"KVIHK15","60134381261200000","2013_04",1.764706,0,0,0,0,0,0,1.764706
"KVIHK15","60134381261200000","2013_05",-.4705884,0,0,0,0,0,0,-.4705884
"KVIHK15","60134381261200000","2013_06",.4705882,0,0,0,0,0,0,.4705882
"KVIHK15","60134381261200000","2013_07",.8235294,0,0,0,0,0,0,.8235294
"KVIHK15","60134381261200000","2013_08",3.611765,0,0,0,0,0,0,3.611765
"KVIHK15","60134381261200000","2013_09",-1.705882,0,0,0,0,0,0,-1.705882
"KVIHK15","HH","2012_10",3.529412,0,0,0,0,0,3.529412,0
"KVIHK15","HH","2012_12",36.76471,0,0,0,0,0,36.76471,0
"KVIHK15","HH","2013_01",12.05882,0,0,0,0,0,12.05882,0
"KVIHK15","HH","2013_02",12.35294,0,0,0,0,.5882353,11.76471,0
"KVIHK15","HH","2013_03",16.58824,0,0,0,0,.5882353,16,0
"KVIHK15","HH","2013_04",26.23529,-2.352941,0,0,0,0,28.58824,0
"KVIHK15","HH","2013_05",27.52941,0,0,0,0,0,27.52941,0
"KVIHK15","HH","2013_06",35.17647,0,0,0,0,0,35.17647,0
"KVIHK15","HH","2013_07",20,0,0,0,0,0,20,0
"KVIHK15","HH","2013_08",3.882353,0,0,0,0,0,3.882353,0
"KVIHK15","HH","2013_09",28.82353,0,0,0,0,0,28.82353,0
"KVIHK16","60134389594300000","2012_10",22.94118,0,0,0,0,0,0,22.94118
"KVIHK16","60134389594300000","2012_11",13.23529,0,0,0,0,0,60.23529,-47
"KVIHK16","60134389594300000","2012_12",151.5412,0,0,0,0,0,18.52941,133.0118
"KVIHK16","60134389594300000","2013_01",35.01176,0,2.352941,0,0,0,53.52941,-20.87059
"KVIHK16","60134389594300000","2013_02",84.55294,0,0,0,0,0,72.35294,12.2
"KVIHK16","60134389594300000","2013_03",44.0353,0,0,0,0,0,34.11765,9.917649
"KVIHK16","60134389594300000","2013_04",40.71764,0,0,0,0,0,18,22.71765
"KVIHK16","60134389594300000","2013_05",39.88235,0,0,0,0,0,9.411765,30.47059
"KVIHK16","60134389594300000","2013_06",93.17646,0,0,0,0,0,65.17647,27.99999
"KVIHK16","60134389594300000","2013_07",66.82353,0,0,0,0,0,11.76471,55.05882
"KVIHK16","60134389594300000","2013_08",142.8823,0,0,0,0,35.29412,47.05882,60.52941
"KVIHK16","60134389594300000","2013_09",54.11765,0,0,0,0,0,23.52941,30.58824
"KVIHK16","HH","2013_01",17.64706,0,0,0,0,0,17.64706,0
"KVIHK16","HH","2013_02",3.529412,0,0,0,0,0,3.529412,0
"KVIHK16","HH","2013_03",17.64706,0,0,0,0,0,17.64706,0
"KVIHK16","HH","2013_05",23.52941,0,0,0,0,0,23.52941,0
"KVIHK16","HH","2013_08",7.058824,0,0,0,0,0,7.058824,0
"KVIHK17","60134382168100000","2012_10",40.29412,0,0,0,0,0,35.58823,4.705883
"KVIHK17","60134382168100000","2012_11",36.47059,20,5.294118,0,0,3.529412,0,7.647059
"KVIHK17","60134382168100000","2012_12",97.81177,2.941176,0,0,0,0,94.87059,0
"KVIHK17","60134382168100000","2013_01",105.2,11.76471,0,0,0,2.352941,85.78824,5.294118
"KVIHK17","60134382168100000","2013_02",44.47059,10.58823,0,0,0,1.176471,23.88235,8.823529
"KVIHK17","60134382168100000","2013_03",63.47059,6.529412,2.352941,0,0,12.35294,38.11765,4.117647
"KVIHK17","60134382168100000","2013_04",40.58823,24.11765,8.235294,0,0,2.941176,2.941176,2.352941
"KVIHK17","60134382168100000","2013_05",100.8235,38.82353,0,0,0,0,60.82353,1.176471
"KVIHK17","60134382168100000","2013_06",72.78824,42.70588,0,0,0,0,24.2,5.882353
"KVIHK17","60134382168100000","2013_07",44.2,12.94118,5.882353,0,0,0,24.2,1.176471
"KVIHK17","60134382168100000","2013_08",41.02353,3.529412,0,0,0,0,30.08235,7.411765
"KVIHK17","60134382168100000","2013_09",77.29412,17.05882,0,0,0,0,47.41177,12.82353
"KVIHK17","60134382361100000","2012_11",-1.764706,-1.764706,0,0,0,0,0,0
"KVIHK17","60134382361100000","2012_12",-2.705883,-2.705883,0,0,0,0,0,0
"KVIHK17","60134382361100000","2013_03",15.70588,5.117647,10.58824,0,0,0,0,0
"KVIHK17","60134382361100000","2013_04",15.35294,3,12.35294,0,0,0,0,0
"KVIHK17","60134382361100000","2013_06",.4117647,.4117647,0,0,0,0,0,0
"KVIHK17","60134382361100000","2013_07",.8235294,0,0,0,0,0,.8235294,0
"KVIHK17","60134382361100000","2013_08",2,.2352941,1.764706,0,0,0,0,0
"KVIHK17","60134382361100000","2013_09",7.058824,0,7.058824,0,0,0,0,0
"KVIHK17","60134382361100000","2013_10",.5882353,.5882353,0,0,0,0,0,0
"KVIHK17","60134382470000000","2013_05",1.764706,0,1.764706,0,0,0,0,0
"KVIHK17","HH","2013_06",2.352941,0,0,0,0,0,2.352941,0
"KVIHK18","60134347482000000","2012_11",11.76471,11.76471,0,0,0,0,0,0
"KVIHK18","60134347482000000","2013_06",3.764706,3.764706,0,0,0,0,0,0
"KVIHK18","60134347683000000","2012_11",59.70588,0,2.823529,0,50.58823,0,6.294117,0
"KVIHK18","60134347683000000","2012_12",33.41177,0,2.823529,0,30.58823,0,0,0
"KVIHK18","60134347683000000","2013_01",43.52941,0,8,0,32,0,3.529412,0
"KVIHK18","60134347683000000","2013_02",49.52941,0,11.29412,0,32,0,6.235294,0
"KVIHK18","60134347683000000","2013_03",72.47059,0,6.117647,0,55.29412,0,11.05882,0
"KVIHK18","60134347683000000","2013_04",60.94118,0,4.235294,0,52.70588,0,4,0
"KVIHK18","60134347683000000","2013_05",62.82353,0,6.117647,0,52.11765,0,4.588235,0
"KVIHK18","60134347683000000","2013_06",66.47059,0,7.529412,0,50,0,8.941176,0
"KVIHK18","60134347683000000","2013_07",94.58823,0,12.94118,0,63.88235,0,17.76471,0
"KVIHK18","60134347683000000","2013_08",67.58823,0,12.70588,0,51.05882,0,3.823529,0
"KVIHK18","60134347683000000","2013_09",67.52941,0,9.411765,0,56.47059,0,1.647059,0
"KVIHK18","60134347683000000","2013_10",1211.765,0,0,0,0,211.7647,1000,0
"KVIHK18","60134347769700000","2012_11",2.823529,0,2.823529,0,0,0,0,0
"KVIHK18","60134347769700000","2012_12",9.411765,0,9.411765,0,0,0,0,0
"KVIHK18","60134347769700000","2013_01",7.529412,0,7.529412,0,0,0,0,0
"KVIHK18","60134347769700000","2013_04",4.705883,0,4.705883,0,0,0,0,0
"KVIHK18","60134347769700000","2013_08",4.705883,0,4.705883,0,0,0,0,0
"KVIHK18","60134347769700000","2013_09",.9411765,0,.9411765,0,0,0,0,0
"KVIHK19","60134336915700000","2012_12",247.0588,0,0,129.4118,117.6471,0,0,0
"KVIHK19","60134336915700000","2013_01",141.1765,0,0,129.4118,0,11.76471,0,0
"KVIHK19","60134336915700000","2013_02",141.1765,0,0,129.4118,0,11.76471,0,0
"KVIHK19","60134336915700000","2013_03",241.1765,100,0,129.4118,0,11.76471,0,0
"KVIHK19","60134336915700000","2013_04",311.7647,64.70588,0,129.4118,117.6471,0,0,0
