hh_ids,trx_yr_mo,rem_hh_count_byti,rem_hh_abs_byti,rem_hh_net_byti,rem_hh_count_byti_RG,rem_hh_abs_byti_RG,rem_hh_count_byti_RR,rem_hh_abs_byti_RR,rem_hh_count_byti_cash,rem_hh_abs_byti_cash,rem_hh_net_byti_cash,rem_hh_count_byti_inkind,rem_hh_abs_byti_inkind,rem_hh_net_byti_inkind,rem_hh_count_byti_mm,rem_hh_abs_byti_mm,rem_hh_net_byti_mm,rem_hh_count_byti_other,rem_hh_abs_byti_other,rem_hh_net_byti_other
"KMAKE05","2013_05",2,9.729412,7.376471,1,1.176471,1,8.552941,1,1.176471,-1.176471,0,0,0,1,8.552941,8.552941,0,0,0
"KMAKE05","2013_06",4,52.94118,52.94118,0,0,4,52.94118,1,17.64706,17.64706,3,35.29412,35.29412,0,0,0,0,0,0
"KMAKE05","2013_08",1,11.76471,11.76471,0,0,1,11.76471,0,0,0,1,11.76471,11.76471,0,0,0,0,0,0
"KMAKE06","2012_11",1,5.882353,-5.882353,1,5.882353,0,0,1,5.882353,-5.882353,0,0,0,0,0,0,0,0,0
"KMAKE06","2013_01",2,35.29412,-35.29412,2,35.29412,0,0,2,35.29412,-35.29412,0,0,0,0,0,0,0,0,0
"KMAKE06","2013_02",1,3.529412,-3.529412,1,3.529412,0,0,1,3.529412,-3.529412,0,0,0,0,0,0,0,0,0
"KMAKE06","2013_03",3,41.49412,-17.32941,2,29.41176,1,12.08235,1,5.882353,-5.882353,0,0,0,2,35.61176,-11.44706,0,0,0
"KMAKE06","2013_04",2,16.47059,-16.47059,2,16.47059,0,0,1,10.58823,-10.58823,0,0,0,1,5.882353,-5.882353,0,0,0
"KMAKE06","2013_05",2,10.58824,-10.58824,2,10.58824,0,0,2,10.58824,-10.58824,0,0,0,0,0,0,0,0,0
"KMAKE06","2013_06",2,13.52941,-13.52941,2,13.52941,0,0,1,7.058824,-7.058824,0,0,0,1,6.470588,-6.470588,0,0,0
"KMAKE06","2013_08",1,12.11765,12.11765,0,0,1,12.11765,0,0,0,0,0,0,1,12.11765,12.11765,0,0,0
"KMAKE07","2012_11",2,26.47059,26.47059,0,0,2,26.47059,0,0,0,0,0,0,2,26.47059,26.47059,0,0,0
"KMAKE07","2012_12",1,29.70588,29.70588,0,0,1,29.70588,0,0,0,0,0,0,1,29.70588,29.70588,0,0,0
"KMAKE07","2013_02",3,67.52941,67.52941,0,0,3,67.52941,1,26.05882,26.05882,1,9.411765,9.411765,1,32.05882,32.05882,0,0,0
"KMAKE07","2013_03",1,23.88235,23.88235,0,0,1,23.88235,0,0,0,0,0,0,1,23.88235,23.88235,0,0,0
"KMAKE07","2013_04",1,12.11765,12.11765,0,0,1,12.11765,0,0,0,0,0,0,1,12.11765,12.11765,0,0,0
"KMAKE07","2013_05",1,17.64706,17.64706,0,0,1,17.64706,0,0,0,0,0,0,1,17.64706,17.64706,0,0,0
"KMAKE07","2013_06",1,16.47059,16.47059,0,0,1,16.47059,0,0,0,0,0,0,1,16.47059,16.47059,0,0,0
